  # Source : cellZone bedOfSpheres
# Cells  : 12131
# Time	sum(V)	volAverage(T)
4.014062e+01	5.221114e-01	5.999312e+02
4.045312e+01	5.221114e-01	5.997669e+02
4.076562e+01	5.221114e-01	5.996020e+02
4.107812e+01	5.221114e-01	5.994369e+02
4.139062e+01	5.221114e-01	5.992717e+02
4.170312e+01	5.221114e-01	5.991066e+02
4.201562e+01	5.221114e-01	5.989415e+02
4.232812e+01	5.221114e-01	5.987765e+02
4.264062e+01	5.221114e-01	5.986116e+02
4.295312e+01	5.221114e-01	5.984467e+02
4.326562e+01	5.221114e-01	5.982820e+02
4.357812e+01	5.221114e-01	5.981174e+02
4.389062e+01	5.221114e-01	5.979529e+02
4.420312e+01	5.221114e-01	5.977886e+02
4.451562e+01	5.221114e-01	5.976243e+02
4.482812e+01	5.221114e-01	5.974602e+02
4.514062e+01	5.221114e-01	5.972962e+02
4.545312e+01	5.221114e-01	5.971324e+02
4.576562e+01	5.221114e-01	5.969687e+02
4.607812e+01	5.221114e-01	5.968051e+02
4.639062e+01	5.221114e-01	5.966416e+02
4.670312e+01	5.221114e-01	5.964783e+02
4.701562e+01	5.221114e-01	5.963152e+02
4.732812e+01	5.221114e-01	5.961521e+02
4.764062e+01	5.221114e-01	5.959892e+02
4.795312e+01	5.221114e-01	5.958264e+02
4.826562e+01	5.221114e-01	5.956638e+02
4.857812e+01	5.221114e-01	5.955013e+02
4.889062e+01	5.221114e-01	5.953389e+02
4.920312e+01	5.221114e-01	5.951767e+02
4.951562e+01	5.221114e-01	5.950146e+02
4.982812e+01	5.221114e-01	5.948526e+02
5.014062e+01	5.221114e-01	5.946908e+02
5.045312e+01	5.221114e-01	5.945291e+02
5.076562e+01	5.221114e-01	5.943675e+02
5.107812e+01	5.221114e-01	5.942060e+02
5.139062e+01	5.221114e-01	5.940447e+02
5.170312e+01	5.221114e-01	5.938835e+02
5.201562e+01	5.221114e-01	5.937225e+02
5.232812e+01	5.221114e-01	5.935615e+02
5.264062e+01	5.221114e-01	5.934007e+02
5.295312e+01	5.221114e-01	5.932400e+02
5.326562e+01	5.221114e-01	5.930795e+02
5.357812e+01	5.221114e-01	5.929190e+02
5.389062e+01	5.221114e-01	5.927587e+02
5.420312e+01	5.221114e-01	5.925985e+02
5.451562e+01	5.221114e-01	5.924384e+02
5.482812e+01	5.221114e-01	5.922785e+02
5.514062e+01	5.221114e-01	5.921187e+02
5.545312e+01	5.221114e-01	5.919590e+02
5.576562e+01	5.221114e-01	5.917994e+02
5.607812e+01	5.221114e-01	5.916399e+02
5.639062e+01	5.221114e-01	5.914805e+02
5.670312e+01	5.221114e-01	5.913213e+02
5.701562e+01	5.221114e-01	5.911622e+02
5.732812e+01	5.221114e-01	5.910032e+02
5.764062e+01	5.221114e-01	5.908443e+02
5.795312e+01	5.221114e-01	5.906855e+02
5.826562e+01	5.221114e-01	5.905269e+02
5.857812e+01	5.221114e-01	5.903683e+02
5.889062e+01	5.221114e-01	5.902099e+02
5.920312e+01	5.221114e-01	5.900516e+02
5.951562e+01	5.221114e-01	5.898934e+02
5.982812e+01	5.221114e-01	5.897353e+02
6.014062e+01	5.221114e-01	5.895773e+02
6.045312e+01	5.221114e-01	5.894195e+02
6.076562e+01	5.221114e-01	5.892617e+02
6.107812e+01	5.221114e-01	5.891041e+02
6.139062e+01	5.221114e-01	5.889466e+02
6.170312e+01	5.221114e-01	5.887891e+02
6.201562e+01	5.221114e-01	5.886318e+02
6.232812e+01	5.221114e-01	5.884746e+02
6.264062e+01	5.221114e-01	5.883175e+02
6.295312e+01	5.221114e-01	5.881605e+02
6.326562e+01	5.221114e-01	5.880036e+02
6.357812e+01	5.221114e-01	5.878469e+02
6.389062e+01	5.221114e-01	5.876902e+02
6.420312e+01	5.221114e-01	5.875336e+02
6.451562e+01	5.221114e-01	5.873772e+02
6.482812e+01	5.221114e-01	5.872208e+02
6.514062e+01	5.221114e-01	5.870646e+02
6.545312e+01	5.221114e-01	5.869084e+02
6.576562e+01	5.221114e-01	5.867524e+02
6.607812e+01	5.221114e-01	5.865964e+02
6.639062e+01	5.221114e-01	5.864406e+02
6.670312e+01	5.221114e-01	5.862849e+02
6.701562e+01	5.221114e-01	5.861292e+02
6.732812e+01	5.221114e-01	5.859737e+02
6.764062e+01	5.221114e-01	5.858183e+02
6.795312e+01	5.221114e-01	5.856630e+02
6.826562e+01	5.221114e-01	5.855078e+02
6.857812e+01	5.221114e-01	5.853526e+02
6.889062e+01	5.221114e-01	5.851976e+02
6.920312e+01	5.221114e-01	5.850427e+02
6.951562e+01	5.221114e-01	5.848879e+02
6.982812e+01	5.221114e-01	5.847332e+02
7.014062e+01	5.221114e-01	5.845785e+02
7.045312e+01	5.221114e-01	5.844240e+02
7.076562e+01	5.221114e-01	5.842696e+02
7.107812e+01	5.221114e-01	5.841153e+02
7.139062e+01	5.221114e-01	5.839611e+02
7.170312e+01	5.221114e-01	5.838069e+02
7.201562e+01	5.221114e-01	5.836529e+02
7.232812e+01	5.221114e-01	5.834990e+02
7.264062e+01	5.221114e-01	5.833451e+02
7.295312e+01	5.221114e-01	5.831914e+02
7.326562e+01	5.221114e-01	5.830378e+02
7.357812e+01	5.221114e-01	5.828842e+02
7.389062e+01	5.221114e-01	5.827308e+02
7.420312e+01	5.221114e-01	5.825774e+02
7.451562e+01	5.221114e-01	5.824242e+02
7.482812e+01	5.221114e-01	5.822710e+02
7.514062e+01	5.221114e-01	5.821179e+02
7.545312e+01	5.221114e-01	5.819650e+02
7.576562e+01	5.221114e-01	5.818121e+02
7.607812e+01	5.221114e-01	5.816593e+02
7.639062e+01	5.221114e-01	5.815066e+02
7.670312e+01	5.221114e-01	5.813541e+02
7.701562e+01	5.221114e-01	5.812016e+02
7.732812e+01	5.221114e-01	5.810492e+02
7.764062e+01	5.221114e-01	5.808968e+02
7.795312e+01	5.221114e-01	5.807446e+02
7.826562e+01	5.221114e-01	5.805925e+02
7.857812e+01	5.221114e-01	5.804405e+02
7.889062e+01	5.221114e-01	5.802885e+02
7.920312e+01	5.221114e-01	5.801367e+02
7.951562e+01	5.221114e-01	5.799849e+02
7.982812e+01	5.221114e-01	5.798333e+02
8.014062e+01	5.221114e-01	5.796817e+02
8.045312e+01	5.221114e-01	5.795302e+02
8.076562e+01	5.221114e-01	5.793788e+02
8.107812e+01	5.221114e-01	5.792276e+02
8.139062e+01	5.221114e-01	5.790764e+02
8.170312e+01	5.221114e-01	5.789252e+02
8.201562e+01	5.221114e-01	5.787742e+02
8.232812e+01	5.221114e-01	5.786233e+02
8.264062e+01	5.221114e-01	5.784725e+02
8.295312e+01	5.221114e-01	5.783217e+02
8.326562e+01	5.221114e-01	5.781711e+02
8.357812e+01	5.221114e-01	5.780205e+02
8.389062e+01	5.221114e-01	5.778701e+02
8.420312e+01	5.221114e-01	5.777197e+02
8.451562e+01	5.221114e-01	5.775694e+02
8.482812e+01	5.221114e-01	5.774192e+02
8.514062e+01	5.221114e-01	5.772691e+02
8.545312e+01	5.221114e-01	5.771191e+02
8.576562e+01	5.221114e-01	5.769692e+02
8.607812e+01	5.221114e-01	5.768193e+02
8.639062e+01	5.221114e-01	5.766696e+02
8.670312e+01	5.221114e-01	5.765199e+02
8.701562e+01	5.221114e-01	5.763704e+02
8.732812e+01	5.221114e-01	5.762209e+02
8.764062e+01	5.221114e-01	5.760715e+02
8.795312e+01	5.221114e-01	5.759222e+02
8.826562e+01	5.221114e-01	5.757730e+02
8.857812e+01	5.221114e-01	5.756239e+02
8.889062e+01	5.221114e-01	5.754748e+02
8.920312e+01	5.221114e-01	5.753259e+02
8.951562e+01	5.221114e-01	5.751770e+02
8.982812e+01	5.221114e-01	5.750282e+02
9.014062e+01	5.221114e-01	5.748795e+02
9.045312e+01	5.221114e-01	5.747309e+02
9.076562e+01	5.221114e-01	5.745824e+02
9.107812e+01	5.221114e-01	5.744340e+02
9.139062e+01	5.221114e-01	5.742856e+02
9.170312e+01	5.221114e-01	5.741374e+02
9.201562e+01	5.221114e-01	5.739892e+02
9.232812e+01	5.221114e-01	5.738411e+02
9.264062e+01	5.221114e-01	5.736931e+02
9.295312e+01	5.221114e-01	5.735452e+02
