  # Source : patch bedOfSpheres_to_fluid
# Faces  : 2688
# Time	sum(magSf)	areaAverage(T)
4.014062e+01	3.143397e+00	5.980522e+02
4.045312e+01	3.143397e+00	5.967649e+02
4.076562e+01	3.143397e+00	5.958150e+02
4.107812e+01	3.143397e+00	5.950200e+02
4.139062e+01	3.143397e+00	5.943177e+02
4.170312e+01	3.143397e+00	5.936796e+02
4.201562e+01	3.143397e+00	5.930900e+02
4.232812e+01	3.143397e+00	5.925391e+02
4.264062e+01	3.143397e+00	5.920202e+02
4.295312e+01	3.143397e+00	5.915281e+02
4.326562e+01	3.143397e+00	5.910591e+02
4.357812e+01	3.143397e+00	5.906102e+02
4.389062e+01	3.143397e+00	5.901789e+02
4.420312e+01	3.143397e+00	5.897632e+02
4.451562e+01	3.143397e+00	5.893613e+02
4.482812e+01	3.143397e+00	5.889720e+02
4.514062e+01	3.143397e+00	5.885938e+02
4.545312e+01	3.143397e+00	5.882260e+02
4.576562e+01	3.143397e+00	5.878674e+02
4.607812e+01	3.143397e+00	5.875174e+02
4.639062e+01	3.143397e+00	5.871753e+02
4.670312e+01	3.143397e+00	5.868404e+02
4.701562e+01	3.143397e+00	5.865123e+02
4.732812e+01	3.143397e+00	5.861904e+02
4.764062e+01	3.143397e+00	5.858744e+02
4.795312e+01	3.143397e+00	5.855640e+02
4.826562e+01	3.143397e+00	5.852586e+02
4.857812e+01	3.143397e+00	5.849581e+02
4.889062e+01	3.143397e+00	5.846622e+02
4.920312e+01	3.143397e+00	5.843707e+02
4.951562e+01	3.143397e+00	5.840832e+02
4.982812e+01	3.143397e+00	5.837997e+02
5.014062e+01	3.143397e+00	5.835198e+02
5.045312e+01	3.143397e+00	5.832435e+02
5.076562e+01	3.143397e+00	5.829705e+02
5.107812e+01	3.143397e+00	5.827008e+02
5.139062e+01	3.143397e+00	5.824342e+02
5.170312e+01	3.143397e+00	5.821705e+02
5.201562e+01	3.143397e+00	5.819097e+02
5.232812e+01	3.143397e+00	5.816516e+02
5.264062e+01	3.143397e+00	5.813961e+02
5.295312e+01	3.143397e+00	5.811431e+02
5.326562e+01	3.143397e+00	5.808926e+02
5.357812e+01	3.143397e+00	5.806444e+02
5.389062e+01	3.143397e+00	5.803985e+02
5.420312e+01	3.143397e+00	5.801548e+02
5.451562e+01	3.143397e+00	5.799131e+02
5.482812e+01	3.143397e+00	5.796736e+02
5.514062e+01	3.143397e+00	5.794360e+02
5.545312e+01	3.143397e+00	5.792003e+02
5.576562e+01	3.143397e+00	5.789665e+02
5.607812e+01	3.143397e+00	5.787344e+02
5.639062e+01	3.143397e+00	5.785042e+02
5.670312e+01	3.143397e+00	5.782756e+02
5.701562e+01	3.143397e+00	5.780487e+02
5.732812e+01	3.143397e+00	5.778234e+02
5.764062e+01	3.143397e+00	5.775997e+02
5.795312e+01	3.143397e+00	5.773774e+02
5.826562e+01	3.143397e+00	5.771567e+02
5.857812e+01	3.143397e+00	5.769374e+02
5.889062e+01	3.143397e+00	5.767195e+02
5.920312e+01	3.143397e+00	5.765030e+02
5.951562e+01	3.143397e+00	5.762878e+02
5.982812e+01	3.143397e+00	5.760739e+02
6.014062e+01	3.143397e+00	5.758612e+02
6.045312e+01	3.143397e+00	5.756498e+02
6.076562e+01	3.143397e+00	5.754397e+02
6.107812e+01	3.143397e+00	5.752307e+02
6.139062e+01	3.143397e+00	5.750228e+02
6.170312e+01	3.143397e+00	5.748161e+02
6.201562e+01	3.143397e+00	5.746105e+02
6.232812e+01	3.143397e+00	5.744060e+02
6.264062e+01	3.143397e+00	5.742025e+02
6.295312e+01	3.143397e+00	5.740000e+02
6.326562e+01	3.143397e+00	5.737986e+02
6.357812e+01	3.143397e+00	5.735982e+02
6.389062e+01	3.143397e+00	5.733987e+02
6.420312e+01	3.143397e+00	5.732001e+02
6.451562e+01	3.143397e+00	5.730025e+02
6.482812e+01	3.143397e+00	5.728059e+02
6.514062e+01	3.143397e+00	5.726101e+02
6.545312e+01	3.143397e+00	5.724151e+02
6.576562e+01	3.143397e+00	5.722211e+02
6.607812e+01	3.143397e+00	5.720279e+02
6.639062e+01	3.143397e+00	5.718355e+02
6.670312e+01	3.143397e+00	5.716439e+02
6.701562e+01	3.143397e+00	5.714531e+02
6.732812e+01	3.143397e+00	5.712631e+02
6.764062e+01	3.143397e+00	5.710738e+02
6.795312e+01	3.143397e+00	5.708853e+02
6.826562e+01	3.143397e+00	5.706976e+02
6.857812e+01	3.143397e+00	5.705106e+02
6.889062e+01	3.143397e+00	5.703243e+02
6.920312e+01	3.143397e+00	5.701386e+02
6.951562e+01	3.143397e+00	5.699537e+02
6.982812e+01	3.143397e+00	5.697695e+02
7.014062e+01	3.143397e+00	5.695859e+02
7.045312e+01	3.143397e+00	5.694030e+02
7.076562e+01	3.143397e+00	5.692207e+02
7.107812e+01	3.143397e+00	5.690390e+02
7.139062e+01	3.143397e+00	5.688580e+02
7.170312e+01	3.143397e+00	5.686776e+02
7.201562e+01	3.143397e+00	5.684978e+02
7.232812e+01	3.143397e+00	5.683186e+02
7.264062e+01	3.143397e+00	5.681399e+02
7.295312e+01	3.143397e+00	5.679619e+02
7.326562e+01	3.143397e+00	5.677844e+02
