  # Source : cellZone fluid
# Cells  : 25373
# Time	sum(V)	volAverage(T)
4.014062e+01	5.751203e+01	3.392618e+02
4.045312e+01	5.751203e+01	3.392443e+02
4.076562e+01	5.751203e+01	3.392208e+02
4.107812e+01	5.751203e+01	3.391932e+02
4.139062e+01	5.751203e+01	3.391624e+02
4.170312e+01	5.751203e+01	3.391288e+02
4.201562e+01	5.751203e+01	3.390927e+02
4.232812e+01	5.751203e+01	3.390545e+02
4.264062e+01	5.751203e+01	3.390142e+02
4.295312e+01	5.751203e+01	3.389720e+02
4.326562e+01	5.751203e+01	3.389279e+02
4.357812e+01	5.751203e+01	3.388821e+02
4.389062e+01	5.751203e+01	3.388345e+02
4.420312e+01	5.751203e+01	3.387853e+02
4.451562e+01	5.751203e+01	3.387346e+02
4.482812e+01	5.751203e+01	3.386825e+02
4.514062e+01	5.751203e+01	3.386292e+02
4.545312e+01	5.751203e+01	3.385747e+02
4.576562e+01	5.751203e+01	3.385195e+02
4.607812e+01	5.751203e+01	3.384635e+02
4.639062e+01	5.751203e+01	3.384072e+02
4.670312e+01	5.751203e+01	3.383506e+02
4.701562e+01	5.751203e+01	3.382940e+02
4.732812e+01	5.751203e+01	3.382375e+02
4.764062e+01	5.751203e+01	3.381814e+02
4.795312e+01	5.751203e+01	3.381258e+02
4.826562e+01	5.751203e+01	3.380709e+02
4.857812e+01	5.751203e+01	3.380166e+02
4.889062e+01	5.751203e+01	3.379632e+02
4.920312e+01	5.751203e+01	3.379107e+02
4.951562e+01	5.751203e+01	3.378591e+02
4.982812e+01	5.751203e+01	3.378084e+02
5.014062e+01	5.751203e+01	3.377588e+02
5.045312e+01	5.751203e+01	3.377101e+02
5.076562e+01	5.751203e+01	3.376625e+02
5.107812e+01	5.751203e+01	3.376158e+02
5.139062e+01	5.751203e+01	3.375700e+02
5.170312e+01	5.751203e+01	3.375252e+02
5.201562e+01	5.751203e+01	3.374812e+02
5.232812e+01	5.751203e+01	3.374381e+02
5.264062e+01	5.751203e+01	3.373958e+02
5.295312e+01	5.751203e+01	3.373543e+02
5.326562e+01	5.751203e+01	3.373136e+02
5.357812e+01	5.751203e+01	3.372735e+02
5.389062e+01	5.751203e+01	3.372342e+02
5.420312e+01	5.751203e+01	3.371955e+02
5.451562e+01	5.751203e+01	3.371574e+02
5.482812e+01	5.751203e+01	3.371199e+02
5.514062e+01	5.751203e+01	3.370829e+02
5.545312e+01	5.751203e+01	3.370465e+02
5.576562e+01	5.751203e+01	3.370106e+02
5.607812e+01	5.751203e+01	3.369751e+02
5.639062e+01	5.751203e+01	3.369401e+02
5.670312e+01	5.751203e+01	3.369056e+02
5.701562e+01	5.751203e+01	3.368714e+02
5.732812e+01	5.751203e+01	3.368376e+02
5.764062e+01	5.751203e+01	3.368043e+02
5.795312e+01	5.751203e+01	3.367713e+02
5.826562e+01	5.751203e+01	3.367386e+02
5.857812e+01	5.751203e+01	3.367062e+02
