  # Source : patch outlet
# Faces  : 160
# Time	sum(magSf)	weightedAverage(T)
4.014062e+01	8.718506e+00	3.648688e+02
4.045312e+01	8.718506e+00	3.648688e+02
4.076562e+01	8.718506e+00	3.648689e+02
4.107812e+01	8.718506e+00	3.648689e+02
4.139062e+01	8.718506e+00	3.648689e+02
4.170312e+01	8.718506e+00	3.648690e+02
4.201562e+01	8.718506e+00	3.648690e+02
4.232812e+01	8.718506e+00	3.648689e+02
4.264062e+01	8.718506e+00	3.648685e+02
4.295312e+01	8.718506e+00	3.648676e+02
4.326562e+01	8.718506e+00	3.648656e+02
4.357812e+01	8.718506e+00	3.648618e+02
4.389062e+01	8.718506e+00	3.648553e+02
4.420312e+01	8.718506e+00	3.648449e+02
4.451562e+01	8.718506e+00	3.648296e+02
4.482812e+01	8.718506e+00	3.648083e+02
4.514062e+01	8.718506e+00	3.647800e+02
4.545312e+01	8.718506e+00	3.647440e+02
4.576562e+01	8.718506e+00	3.646998e+02
4.607812e+01	8.718506e+00	3.646474e+02
4.639062e+01	8.718506e+00	3.645867e+02
4.670312e+01	8.718506e+00	3.645183e+02
4.701562e+01	8.718506e+00	3.644426e+02
4.732812e+01	8.718506e+00	3.643604e+02
4.764062e+01	8.718506e+00	3.642727e+02
4.795312e+01	8.718506e+00	3.641802e+02
4.826562e+01	8.718506e+00	3.640840e+02
4.857812e+01	8.718506e+00	3.639850e+02
4.889062e+01	8.718506e+00	3.638840e+02
4.920312e+01	8.718506e+00	3.637818e+02
4.951562e+01	8.718506e+00	3.636791e+02
4.982812e+01	8.718506e+00	3.635765e+02
5.014062e+01	8.718506e+00	3.634745e+02
5.045312e+01	8.718506e+00	3.633735e+02
5.076562e+01	8.718506e+00	3.632739e+02
5.107812e+01	8.718506e+00	3.631760e+02
5.139062e+01	8.718506e+00	3.630799e+02
5.170312e+01	8.718506e+00	3.629857e+02
5.201562e+01	8.718506e+00	3.628936e+02
5.232812e+01	8.718506e+00	3.628036e+02
5.264062e+01	8.718506e+00	3.627157e+02
5.295312e+01	8.718506e+00	3.626298e+02
5.326562e+01	8.718506e+00	3.625460e+02
5.357812e+01	8.718506e+00	3.624642e+02
5.389062e+01	8.718506e+00	3.623844e+02
5.420312e+01	8.718506e+00	3.623063e+02
5.451562e+01	8.718506e+00	3.622301e+02
5.482812e+01	8.718506e+00	3.621555e+02
5.514062e+01	8.718506e+00	3.620826e+02
5.545312e+01	8.718506e+00	3.620112e+02
5.576562e+01	8.718506e+00	3.619412e+02
5.607812e+01	8.718506e+00	3.618726e+02
5.639062e+01	8.718506e+00	3.618053e+02
5.670312e+01	8.718506e+00	3.617392e+02
5.701562e+01	8.718506e+00	3.616743e+02
5.732812e+01	8.718506e+00	3.616105e+02
5.764062e+01	8.718506e+00	3.615477e+02
5.795312e+01	8.718506e+00	3.614859e+02
5.826562e+01	8.718506e+00	3.614251e+02
5.857812e+01	8.718506e+00	3.613651e+02
5.889062e+01	8.718506e+00	3.613059e+02
5.920312e+01	8.718506e+00	3.612476e+02
5.951562e+01	8.718506e+00	3.611900e+02
5.982812e+01	8.718506e+00	3.611331e+02
6.014062e+01	8.718506e+00	3.610769e+02
6.045312e+01	8.718506e+00	3.610214e+02
6.076562e+01	8.718506e+00	3.609665e+02
6.107812e+01	8.718506e+00	3.609122e+02
6.139062e+01	8.718506e+00	3.608584e+02
6.170312e+01	8.718506e+00	3.608053e+02
6.201562e+01	8.718506e+00	3.607526e+02
6.232812e+01	8.718506e+00	3.607004e+02
6.264062e+01	8.718506e+00	3.606488e+02
6.295312e+01	8.718506e+00	3.605976e+02
6.326562e+01	8.718506e+00	3.605468e+02
6.357812e+01	8.718506e+00	3.604965e+02
6.389062e+01	8.718506e+00	3.604466e+02
6.420312e+01	8.718506e+00	3.603971e+02
6.451562e+01	8.718506e+00	3.603480e+02
6.482812e+01	8.718506e+00	3.602993e+02
6.514062e+01	8.718506e+00	3.602510e+02
6.545312e+01	8.718506e+00	3.602030e+02
6.576562e+01	8.718506e+00	3.601553e+02
6.607812e+01	8.718506e+00	3.601080e+02
6.639062e+01	8.718506e+00	3.600610e+02
6.670312e+01	8.718506e+00	3.600144e+02
6.701562e+01	8.718506e+00	3.599680e+02
6.732812e+01	8.718506e+00	3.599219e+02
6.764062e+01	8.718506e+00	3.598762e+02
6.795312e+01	8.718506e+00	3.598307e+02
6.826562e+01	8.718506e+00	3.597855e+02
6.857812e+01	8.718506e+00	3.597405e+02
6.889062e+01	8.718506e+00	3.596958e+02
6.920312e+01	8.718506e+00	3.596514e+02
6.951562e+01	8.718506e+00	3.596072e+02
6.982812e+01	8.718506e+00	3.595633e+02
7.014062e+01	8.718506e+00	3.595196e+02
7.045312e+01	8.718506e+00	3.594761e+02
7.076562e+01	8.718506e+00	3.594329e+02
7.107812e+01	8.718506e+00	3.593898e+02
7.139062e+01	8.718506e+00	3.593470e+02
7.170312e+01	8.718506e+00	3.593044e+02
7.201562e+01	8.718506e+00	3.592621e+02
7.232812e+01	8.718506e+00	3.592199e+02
7.264062e+01	8.718506e+00	3.591779e+02
7.295312e+01	8.718506e+00	3.591361e+02
7.326562e+01	8.718506e+00	3.590945e+02
7.357812e+01	8.718506e+00	3.590531e+02
7.389062e+01	8.718506e+00	3.590119e+02
7.420312e+01	8.718506e+00	3.589708e+02
7.451562e+01	8.718506e+00	3.589299e+02
7.482812e+01	8.718506e+00	3.588892e+02
7.514062e+01	8.718506e+00	3.588487e+02
7.545312e+01	8.718506e+00	3.588083e+02
7.576562e+01	8.718506e+00	3.587681e+02
7.607812e+01	8.718506e+00	3.587281e+02
7.639062e+01	8.718506e+00	3.586882e+02
7.670312e+01	8.718506e+00	3.586484e+02
7.701562e+01	8.718506e+00	3.586088e+02
7.732812e+01	8.718506e+00	3.585694e+02
7.764062e+01	8.718506e+00	3.585301e+02
7.795312e+01	8.718506e+00	3.584910e+02
7.826562e+01	8.718506e+00	3.584520e+02
7.857812e+01	8.718506e+00	3.584131e+02
7.889062e+01	8.718506e+00	3.583743e+02
7.920312e+01	8.718506e+00	3.583357e+02
7.951562e+01	8.718506e+00	3.582973e+02
7.982812e+01	8.718506e+00	3.582589e+02
8.014062e+01	8.718506e+00	3.582207e+02
8.045312e+01	8.718506e+00	3.581826e+02
8.076562e+01	8.718506e+00	3.581447e+02
8.107812e+01	8.718506e+00	3.581068e+02
8.139062e+01	8.718506e+00	3.580691e+02
8.170312e+01	8.718506e+00	3.580315e+02
8.201562e+01	8.718506e+00	3.579941e+02
8.232812e+01	8.718506e+00	3.579568e+02
8.264062e+01	8.718506e+00	3.579195e+02
8.295312e+01	8.718506e+00	3.578825e+02
8.326562e+01	8.718506e+00	3.578455e+02
8.357812e+01	8.718506e+00	3.578086e+02
8.389062e+01	8.718506e+00	3.577719e+02
8.420312e+01	8.718506e+00	3.577353e+02
8.451562e+01	8.718506e+00	3.576988e+02
8.482812e+01	8.718506e+00	3.576624e+02
8.514062e+01	8.718506e+00	3.576261e+02
8.545312e+01	8.718506e+00	3.575899e+02
8.576562e+01	8.718506e+00	3.575538e+02
8.607812e+01	8.718506e+00	3.575179e+02
8.639062e+01	8.718506e+00	3.574820e+02
8.670312e+01	8.718506e+00	3.574463e+02
8.701562e+01	8.718506e+00	3.574107e+02
8.732812e+01	8.718506e+00	3.573751e+02
8.764062e+01	8.718506e+00	3.573397e+02
8.795312e+01	8.718506e+00	3.573043e+02
8.826562e+01	8.718506e+00	3.572690e+02
8.857812e+01	8.718506e+00	3.572338e+02
8.889062e+01	8.718506e+00	3.571987e+02
8.920312e+01	8.718506e+00	3.571637e+02
8.951562e+01	8.718506e+00	3.571288e+02
8.982812e+01	8.718506e+00	3.570939e+02
9.014062e+01	8.718506e+00	3.570591e+02
9.045312e+01	8.718506e+00	3.570244e+02
9.076562e+01	8.718506e+00	3.569898e+02
9.107812e+01	8.718506e+00	3.569552e+02
9.139062e+01	8.718506e+00	3.569207e+02
9.170312e+01	8.718506e+00	3.568863e+02
9.201562e+01	8.718506e+00	3.568519e+02
9.232812e+01	8.718506e+00	3.568176e+02
9.264062e+01	8.718506e+00	3.567833e+02
9.295312e+01	8.718506e+00	3.567491e+02
9.326562e+01	8.718506e+00	3.567150e+02
9.357812e+01	8.718506e+00	3.566809e+02
9.389062e+01	8.718506e+00	3.566469e+02
9.420312e+01	8.718506e+00	3.566129e+02
9.451562e+01	8.718506e+00	3.565790e+02
9.482812e+01	8.718506e+00	3.565452e+02
9.514062e+01	8.718506e+00	3.565114e+02
9.545312e+01	8.718506e+00	3.564777e+02
9.576562e+01	8.718506e+00	3.564440e+02
9.607812e+01	8.718506e+00	3.564104e+02
9.639062e+01	8.718506e+00	3.563768e+02
9.670312e+01	8.718506e+00	3.563433e+02
9.701562e+01	8.718506e+00	3.563099e+02
9.732812e+01	8.718506e+00	3.562765e+02
9.764062e+01	8.718506e+00	3.562431e+02
9.795312e+01	8.718506e+00	3.562099e+02
9.826562e+01	8.718506e+00	3.561766e+02
9.857812e+01	8.718506e+00	3.561435e+02
9.889062e+01	8.718506e+00	3.561104e+02
9.920312e+01	8.718506e+00	3.560773e+02
9.951562e+01	8.718506e+00	3.560443e+02
9.982812e+01	8.718506e+00	3.560114e+02
1.001406e+02	8.718506e+00	3.559785e+02
1.004531e+02	8.718506e+00	3.559457e+02
1.007656e+02	8.718506e+00	3.559129e+02
1.010781e+02	8.718506e+00	3.558802e+02
1.013906e+02	8.718506e+00	3.558475e+02
1.017031e+02	8.718506e+00	3.558149e+02
1.020156e+02	8.718506e+00	3.557823e+02
1.023281e+02	8.718506e+00	3.557498e+02
1.026406e+02	8.718506e+00	3.557173e+02
1.029531e+02	8.718506e+00	3.556849e+02
1.032656e+02	8.718506e+00	3.556526e+02
1.035781e+02	8.718506e+00	3.556203e+02
1.038906e+02	8.718506e+00	3.555880e+02
1.042031e+02	8.718506e+00	3.555558e+02
1.045156e+02	8.718506e+00	3.555236e+02
1.048281e+02	8.718506e+00	3.554915e+02
1.051406e+02	8.718506e+00	3.554594e+02
1.054531e+02	8.718506e+00	3.554274e+02
1.057656e+02	8.718506e+00	3.553954e+02
1.060781e+02	8.718506e+00	3.553635e+02
1.063906e+02	8.718506e+00	3.553316e+02
1.067031e+02	8.718506e+00	3.552998e+02
1.070156e+02	8.718506e+00	3.552680e+02
1.073281e+02	8.718506e+00	3.552362e+02
1.076406e+02	8.718506e+00	3.552045e+02
1.079531e+02	8.718506e+00	3.551729e+02
1.082656e+02	8.718506e+00	3.551413e+02
1.085781e+02	8.718506e+00	3.551097e+02
1.088906e+02	8.718506e+00	3.550782e+02
1.092031e+02	8.718506e+00	3.550467e+02
1.095156e+02	8.718506e+00	3.550152e+02
1.098281e+02	8.718506e+00	3.549838e+02
1.101406e+02	8.718506e+00	3.549525e+02
1.104531e+02	8.718506e+00	3.549211e+02
1.107656e+02	8.718506e+00	3.548899e+02
1.110781e+02	8.718506e+00	3.548586e+02
1.113906e+02	8.718506e+00	3.548274e+02
1.117031e+02	8.718506e+00	3.547963e+02
1.120156e+02	8.718506e+00	3.547651e+02
1.123281e+02	8.718506e+00	3.547341e+02
1.126406e+02	8.718506e+00	3.547030e+02
1.129531e+02	8.718506e+00	3.546720e+02
1.132656e+02	8.718506e+00	3.546411e+02
1.135781e+02	8.718506e+00	3.546101e+02
1.138906e+02	8.718506e+00	3.545792e+02
1.142031e+02	8.718506e+00	3.545484e+02
1.145156e+02	8.718506e+00	3.545176e+02
1.148281e+02	8.718506e+00	3.544868e+02
1.151406e+02	8.718506e+00	3.544561e+02
1.154531e+02	8.718506e+00	3.544253e+02
1.157656e+02	8.718506e+00	3.543947e+02
1.160781e+02	8.718506e+00	3.543640e+02
1.163906e+02	8.718506e+00	3.543334e+02
1.167031e+02	8.718506e+00	3.543029e+02
1.170156e+02	8.718506e+00	3.542723e+02
1.173281e+02	8.718506e+00	3.542419e+02
1.176406e+02	8.718506e+00	3.542114e+02
1.179531e+02	8.718506e+00	3.541810e+02
1.182656e+02	8.718506e+00	3.541506e+02
1.185781e+02	8.718506e+00	3.541202e+02
1.188906e+02	8.718506e+00	3.540899e+02
1.192031e+02	8.718506e+00	3.540596e+02
1.195156e+02	8.718506e+00	3.540293e+02
1.198281e+02	8.718506e+00	3.539991e+02
1.201406e+02	8.718506e+00	3.539689e+02
1.204531e+02	8.718506e+00	3.539388e+02
1.207656e+02	8.718506e+00	3.539086e+02
1.210781e+02	8.718506e+00	3.538785e+02
1.213906e+02	8.718506e+00	3.538485e+02
1.217031e+02	8.718506e+00	3.538184e+02
1.220156e+02	8.718506e+00	3.537884e+02
1.223281e+02	8.718506e+00	3.537585e+02
1.226406e+02	8.718506e+00	3.537285e+02
1.229531e+02	8.718506e+00	3.536986e+02
1.232656e+02	8.718506e+00	3.536687e+02
1.235781e+02	8.718506e+00	3.536389e+02
1.238906e+02	8.718506e+00	3.536090e+02
1.242031e+02	8.718506e+00	3.535793e+02
1.245156e+02	8.718506e+00	3.535495e+02
1.248281e+02	8.718506e+00	3.535198e+02
1.251406e+02	8.718506e+00	3.534901e+02
