  # Source : cellZone bedOfSpheres
# Cells  : 12131
# Time	sum(V)	volAverage(T)
4.021803e+01	5.221114e-01	5.998934e+02
4.073781e+01	5.221114e-01	5.996237e+02
4.125759e+01	5.221114e-01	5.993529e+02
4.177737e+01	5.221114e-01	5.990816e+02
4.229715e+01	5.221114e-01	5.988102e+02
4.281693e+01	5.221114e-01	5.985387e+02
4.333671e+01	5.221114e-01	5.982673e+02
4.385648e+01	5.221114e-01	5.979961e+02
4.437626e+01	5.221114e-01	5.977251e+02
4.489604e+01	5.221114e-01	5.974542e+02
4.541451e+01	5.221114e-01	5.971843e+02
4.593264e+01	5.221114e-01	5.969149e+02
4.645078e+01	5.221114e-01	5.966457e+02
4.696891e+01	5.221114e-01	5.963768e+02
4.748705e+01	5.221114e-01	5.961083e+02
4.800518e+01	5.221114e-01	5.958400e+02
4.852332e+01	5.221114e-01	5.955721e+02
4.904145e+01	5.221114e-01	5.953044e+02
4.955959e+01	5.221114e-01	5.950371e+02
5.007772e+01	5.221114e-01	5.947702e+02
5.059585e+01	5.221114e-01	5.945035e+02
5.111399e+01	5.221114e-01	5.942372e+02
5.163212e+01	5.221114e-01	5.939712e+02
5.215026e+01	5.221114e-01	5.937055e+02
5.266839e+01	5.221114e-01	5.934401e+02
5.318653e+01	5.221114e-01	5.931751e+02
5.370466e+01	5.221114e-01	5.929104e+02
5.422280e+01	5.221114e-01	5.926460e+02
5.474093e+01	5.221114e-01	5.923819e+02
5.525907e+01	5.221114e-01	5.921181e+02
5.577720e+01	5.221114e-01	5.918546e+02
5.629534e+01	5.221114e-01	5.915915e+02
5.681347e+01	5.221114e-01	5.913286e+02
5.733161e+01	5.221114e-01	5.910661e+02
5.784974e+01	5.221114e-01	5.908038e+02
5.836788e+01	5.221114e-01	5.905419e+02
5.888601e+01	5.221114e-01	5.902802e+02
5.940415e+01	5.221114e-01	5.900189e+02
5.992228e+01	5.221114e-01	5.897579e+02
6.044041e+01	5.221114e-01	5.894971e+02
6.095855e+01	5.221114e-01	5.892367e+02
6.147668e+01	5.221114e-01	5.889765e+02
6.199482e+01	5.221114e-01	5.887166e+02
6.251295e+01	5.221114e-01	5.884571e+02
6.303109e+01	5.221114e-01	5.881978e+02
6.354922e+01	5.221114e-01	5.879387e+02
6.406736e+01	5.221114e-01	5.876800e+02
6.458549e+01	5.221114e-01	5.874216e+02
6.510363e+01	5.221114e-01	5.871634e+02
6.562176e+01	5.221114e-01	5.869055e+02
6.613990e+01	5.221114e-01	5.866479e+02
6.665803e+01	5.221114e-01	5.863906e+02
6.717617e+01	5.221114e-01	5.861335e+02
6.769430e+01	5.221114e-01	5.858767e+02
6.821244e+01	5.221114e-01	5.856202e+02
6.873057e+01	5.221114e-01	5.853640e+02
6.924870e+01	5.221114e-01	5.851080e+02
6.976684e+01	5.221114e-01	5.848523e+02
7.028497e+01	5.221114e-01	5.845969e+02
7.080311e+01	5.221114e-01	5.843417e+02
7.132124e+01	5.221114e-01	5.840868e+02
7.183938e+01	5.221114e-01	5.838322e+02
7.235751e+01	5.221114e-01	5.835778e+02
7.287565e+01	5.221114e-01	5.833237e+02
7.339378e+01	5.221114e-01	5.830698e+02
7.391192e+01	5.221114e-01	5.828162e+02
7.443005e+01	5.221114e-01	5.825629e+02
7.494819e+01	5.221114e-01	5.823098e+02
7.546632e+01	5.221114e-01	5.820570e+02
7.598446e+01	5.221114e-01	5.818044e+02
7.650259e+01	5.221114e-01	5.815521e+02
7.702073e+01	5.221114e-01	5.813001e+02
7.753886e+01	5.221114e-01	5.810483e+02
7.805699e+01	5.221114e-01	5.807967e+02
7.857513e+01	5.221114e-01	5.805454e+02
7.909326e+01	5.221114e-01	5.802944e+02
7.961140e+01	5.221114e-01	5.800436e+02
