  # Source : patch bedOfSpheres_to_fluid
# Faces  : 2688
# Time	sum(magSf)	areaAverage(T)
4.021803e+01	3.143397e+00	5.977258e+02
4.073781e+01	3.143397e+00	5.959598e+02
4.125759e+01	3.143397e+00	5.946879e+02
4.177737e+01	3.143397e+00	5.936243e+02
4.229715e+01	3.143397e+00	5.926872e+02
4.281693e+01	3.143397e+00	5.918393e+02
4.333671e+01	3.143397e+00	5.910589e+02
4.385648e+01	3.143397e+00	5.903318e+02
4.437626e+01	3.143397e+00	5.896480e+02
4.489604e+01	3.143397e+00	5.890000e+02
4.541451e+01	3.143397e+00	5.883838e+02
4.593264e+01	3.143397e+00	5.877937e+02
4.645078e+01	3.143397e+00	5.872260e+02
4.696891e+01	3.143397e+00	5.866779e+02
4.748705e+01	3.143397e+00	5.861472e+02
4.800518e+01	3.143397e+00	5.856320e+02
4.852332e+01	3.143397e+00	5.851308e+02
4.904145e+01	3.143397e+00	5.846423e+02
4.955959e+01	3.143397e+00	5.841653e+02
5.007772e+01	3.143397e+00	5.836990e+02
5.059585e+01	3.143397e+00	5.832424e+02
5.111399e+01	3.143397e+00	5.827949e+02
5.163212e+01	3.143397e+00	5.823559e+02
5.215026e+01	3.143397e+00	5.819247e+02
5.266839e+01	3.143397e+00	5.815008e+02
5.318653e+01	3.143397e+00	5.810839e+02
5.370466e+01	3.143397e+00	5.806734e+02
5.422280e+01	3.143397e+00	5.802691e+02
5.474093e+01	3.143397e+00	5.798706e+02
5.525907e+01	3.143397e+00	5.794775e+02
5.577720e+01	3.143397e+00	5.790897e+02
5.629534e+01	3.143397e+00	5.787068e+02
5.681347e+01	3.143397e+00	5.783286e+02
5.733161e+01	3.143397e+00	5.779549e+02
5.784974e+01	3.143397e+00	5.775855e+02
5.836788e+01	3.143397e+00	5.772202e+02
5.888601e+01	3.143397e+00	5.768588e+02
5.940415e+01	3.143397e+00	5.765011e+02
5.992228e+01	3.143397e+00	5.761471e+02
6.044041e+01	3.143397e+00	5.757965e+02
6.095855e+01	3.143397e+00	5.754492e+02
6.147668e+01	3.143397e+00	5.751052e+02
6.199482e+01	3.143397e+00	5.747642e+02
6.251295e+01	3.143397e+00	5.744262e+02
6.303109e+01	3.143397e+00	5.740910e+02
6.354922e+01	3.143397e+00	5.737586e+02
6.406736e+01	3.143397e+00	5.734289e+02
6.458549e+01	3.143397e+00	5.731017e+02
6.510363e+01	3.143397e+00	5.727771e+02
6.562176e+01	3.143397e+00	5.724548e+02
6.613990e+01	3.143397e+00	5.721349e+02
6.665803e+01	3.143397e+00	5.718172e+02
6.717617e+01	3.143397e+00	5.715017e+02
6.769430e+01	3.143397e+00	5.711883e+02
6.821244e+01	3.143397e+00	5.708770e+02
6.873057e+01	3.143397e+00	5.705677e+02
6.924870e+01	3.143397e+00	5.702603e+02
6.976684e+01	3.143397e+00	5.699549e+02
7.028497e+01	3.143397e+00	5.696512e+02
7.080311e+01	3.143397e+00	5.693494e+02
