  # Source : cellZone bedOfSpheres
# Cells  : 12131
# Time	sum(V)	volIntegrate(T)
4.021803e+01	5.221114e-01	3.132112e+02
4.073781e+01	5.221114e-01	3.130704e+02
4.125759e+01	5.221114e-01	3.129290e+02
4.177737e+01	5.221114e-01	3.127873e+02
4.229715e+01	5.221114e-01	3.126456e+02
4.281693e+01	5.221114e-01	3.125039e+02
4.333671e+01	5.221114e-01	3.123622e+02
4.385648e+01	5.221114e-01	3.122206e+02
4.437626e+01	5.221114e-01	3.120791e+02
4.489604e+01	5.221114e-01	3.119377e+02
4.541451e+01	5.221114e-01	3.117968e+02
4.593264e+01	5.221114e-01	3.116561e+02
4.645078e+01	5.221114e-01	3.115155e+02
4.696891e+01	5.221114e-01	3.113751e+02
4.748705e+01	5.221114e-01	3.112349e+02
4.800518e+01	5.221114e-01	3.110949e+02
4.852332e+01	5.221114e-01	3.109550e+02
4.904145e+01	5.221114e-01	3.108152e+02
4.955959e+01	5.221114e-01	3.106757e+02
5.007772e+01	5.221114e-01	3.105363e+02
5.059585e+01	5.221114e-01	3.103971e+02
5.111399e+01	5.221114e-01	3.102580e+02
5.163212e+01	5.221114e-01	3.101191e+02
5.215026e+01	5.221114e-01	3.099804e+02
5.266839e+01	5.221114e-01	3.098419e+02
5.318653e+01	5.221114e-01	3.097035e+02
5.370466e+01	5.221114e-01	3.095653e+02
5.422280e+01	5.221114e-01	3.094272e+02
5.474093e+01	5.221114e-01	3.092893e+02
5.525907e+01	5.221114e-01	3.091516e+02
5.577720e+01	5.221114e-01	3.090140e+02
5.629534e+01	5.221114e-01	3.088766e+02
5.681347e+01	5.221114e-01	3.087394e+02
5.733161e+01	5.221114e-01	3.086023e+02
5.784974e+01	5.221114e-01	3.084654e+02
5.836788e+01	5.221114e-01	3.083287e+02
5.888601e+01	5.221114e-01	3.081920e+02
5.940415e+01	5.221114e-01	3.080556e+02
5.992228e+01	5.221114e-01	3.079193e+02
6.044041e+01	5.221114e-01	3.077832e+02
6.095855e+01	5.221114e-01	3.076472e+02
6.147668e+01	5.221114e-01	3.075114e+02
6.199482e+01	5.221114e-01	3.073757e+02
6.251295e+01	5.221114e-01	3.072401e+02
6.303109e+01	5.221114e-01	3.071048e+02
6.354922e+01	5.221114e-01	3.069695e+02
6.406736e+01	5.221114e-01	3.068344e+02
6.458549e+01	5.221114e-01	3.066995e+02
6.510363e+01	5.221114e-01	3.065647e+02
6.562176e+01	5.221114e-01	3.064301e+02
6.613990e+01	5.221114e-01	3.062956e+02
6.665803e+01	5.221114e-01	3.061612e+02
6.717617e+01	5.221114e-01	3.060270e+02
6.769430e+01	5.221114e-01	3.058929e+02
6.821244e+01	5.221114e-01	3.057590e+02
6.873057e+01	5.221114e-01	3.056252e+02
6.924870e+01	5.221114e-01	3.054916e+02
6.976684e+01	5.221114e-01	3.053581e+02
7.028497e+01	5.221114e-01	3.052247e+02
7.080311e+01	5.221114e-01	3.050915e+02
7.132124e+01	5.221114e-01	3.049584e+02
7.183938e+01	5.221114e-01	3.048254e+02
7.235751e+01	5.221114e-01	3.046926e+02
7.287565e+01	5.221114e-01	3.045599e+02
7.339378e+01	5.221114e-01	3.044274e+02
7.391192e+01	5.221114e-01	3.042950e+02
7.443005e+01	5.221114e-01	3.041627e+02
7.494819e+01	5.221114e-01	3.040306e+02
7.546632e+01	5.221114e-01	3.038986e+02
7.598446e+01	5.221114e-01	3.037667e+02
7.650259e+01	5.221114e-01	3.036350e+02
7.702073e+01	5.221114e-01	3.035034e+02
7.753886e+01	5.221114e-01	3.033719e+02
7.805699e+01	5.221114e-01	3.032406e+02
7.857513e+01	5.221114e-01	3.031094e+02
7.909326e+01	5.221114e-01	3.029783e+02
7.961140e+01	5.221114e-01	3.028474e+02
8.012953e+01	5.221114e-01	3.027166e+02
8.064767e+01	5.221114e-01	3.025859e+02
8.116580e+01	5.221114e-01	3.024553e+02
8.168394e+01	5.221114e-01	3.023249e+02
8.220207e+01	5.221114e-01	3.021946e+02
8.272021e+01	5.221114e-01	3.020644e+02
8.323834e+01	5.221114e-01	3.019344e+02
8.375648e+01	5.221114e-01	3.018045e+02
8.427461e+01	5.221114e-01	3.016747e+02
8.479275e+01	5.221114e-01	3.015450e+02
8.531088e+01	5.221114e-01	3.014155e+02
8.582902e+01	5.221114e-01	3.012861e+02
8.634715e+01	5.221114e-01	3.011568e+02
8.686528e+01	5.221114e-01	3.010276e+02
8.738342e+01	5.221114e-01	3.008986e+02
8.790155e+01	5.221114e-01	3.007697e+02
8.841969e+01	5.221114e-01	3.006409e+02
8.893782e+01	5.221114e-01	3.005122e+02
8.945596e+01	5.221114e-01	3.003837e+02
8.997409e+01	5.221114e-01	3.002552e+02
9.049223e+01	5.221114e-01	3.001270e+02
9.101036e+01	5.221114e-01	2.999988e+02
9.152850e+01	5.221114e-01	2.998707e+02
9.204663e+01	5.221114e-01	2.997428e+02
9.256477e+01	5.221114e-01	2.996150e+02
9.308290e+01	5.221114e-01	2.994873e+02
9.360104e+01	5.221114e-01	2.993597e+02
9.411917e+01	5.221114e-01	2.992323e+02
9.463731e+01	5.221114e-01	2.991050e+02
9.515544e+01	5.221114e-01	2.989778e+02
9.567358e+01	5.221114e-01	2.988507e+02
9.619171e+01	5.221114e-01	2.987237e+02
9.670984e+01	5.221114e-01	2.985969e+02
9.722798e+01	5.221114e-01	2.984702e+02
9.774611e+01	5.221114e-01	2.983436e+02
9.826425e+01	5.221114e-01	2.982171e+02
9.878238e+01	5.221114e-01	2.980907e+02
9.930052e+01	5.221114e-01	2.979645e+02
9.981865e+01	5.221114e-01	2.978383e+02
1.003368e+02	5.221114e-01	2.977123e+02
1.008549e+02	5.221114e-01	2.975864e+02
1.013731e+02	5.221114e-01	2.974606e+02
1.018912e+02	5.221114e-01	2.973350e+02
1.024093e+02	5.221114e-01	2.972094e+02
1.029275e+02	5.221114e-01	2.970840e+02
1.034456e+02	5.221114e-01	2.969587e+02
1.039637e+02	5.221114e-01	2.968335e+02
1.044819e+02	5.221114e-01	2.967084e+02
1.050000e+02	5.221114e-01	2.965834e+02
1.055181e+02	5.221114e-01	2.964586e+02
1.060363e+02	5.221114e-01	2.963338e+02
1.065544e+02	5.221114e-01	2.962092e+02
1.070725e+02	5.221114e-01	2.960847e+02
1.075907e+02	5.221114e-01	2.959603e+02
1.081088e+02	5.221114e-01	2.958361e+02
1.086269e+02	5.221114e-01	2.957119e+02
1.091451e+02	5.221114e-01	2.955878e+02
1.096632e+02	5.221114e-01	2.954639e+02
1.101813e+02	5.221114e-01	2.953401e+02
1.106995e+02	5.221114e-01	2.952164e+02
1.112176e+02	5.221114e-01	2.950928e+02
1.117358e+02	5.221114e-01	2.949693e+02
1.122539e+02	5.221114e-01	2.948459e+02
1.127720e+02	5.221114e-01	2.947227e+02
1.132902e+02	5.221114e-01	2.945996e+02
1.138083e+02	5.221114e-01	2.944765e+02
1.143264e+02	5.221114e-01	2.943536e+02
1.148446e+02	5.221114e-01	2.942308e+02
1.153627e+02	5.221114e-01	2.941081e+02
1.158808e+02	5.221114e-01	2.939855e+02
1.163990e+02	5.221114e-01	2.938631e+02
1.169171e+02	5.221114e-01	2.937407e+02
1.174352e+02	5.221114e-01	2.936185e+02
1.179534e+02	5.221114e-01	2.934963e+02
1.184715e+02	5.221114e-01	2.933743e+02
1.189896e+02	5.221114e-01	2.932524e+02
1.195078e+02	5.221114e-01	2.931306e+02
1.200259e+02	5.221114e-01	2.930089e+02
