  # Source : cellZone fluid
# Cells  : 25373
# Time	sum(V)	volAverage(T)
4.021803e+01	5.751203e+01	3.393308e+02
4.073781e+01	5.751203e+01	3.393068e+02
4.125759e+01	5.751203e+01	3.392721e+02
4.177737e+01	5.751203e+01	3.392294e+02
4.229715e+01	5.751203e+01	3.391804e+02
4.281693e+01	5.751203e+01	3.391258e+02
4.333671e+01	5.751203e+01	3.390663e+02
4.385648e+01	5.751203e+01	3.390022e+02
4.437626e+01	5.751203e+01	3.389335e+02
4.489604e+01	5.751203e+01	3.388605e+02
4.541451e+01	5.751203e+01	3.387837e+02
4.593264e+01	5.751203e+01	3.387033e+02
4.645078e+01	5.751203e+01	3.386199e+02
4.696891e+01	5.751203e+01	3.385343e+02
4.748705e+01	5.751203e+01	3.384473e+02
4.800518e+01	5.751203e+01	3.383596e+02
4.852332e+01	5.751203e+01	3.382720e+02
4.904145e+01	5.751203e+01	3.381852e+02
4.955959e+01	5.751203e+01	3.380995e+02
5.007772e+01	5.751203e+01	3.380156e+02
5.059585e+01	5.751203e+01	3.379336e+02
5.111399e+01	5.751203e+01	3.378537e+02
5.163212e+01	5.751203e+01	3.377761e+02
5.215026e+01	5.751203e+01	3.377007e+02
5.266839e+01	5.751203e+01	3.376275e+02
5.318653e+01	5.751203e+01	3.375565e+02
5.370466e+01	5.751203e+01	3.374876e+02
5.422280e+01	5.751203e+01	3.374205e+02
5.474093e+01	5.751203e+01	3.373553e+02
5.525907e+01	5.751203e+01	3.372918e+02
5.577720e+01	5.751203e+01	3.372298e+02
5.629534e+01	5.751203e+01	3.371693e+02
5.681347e+01	5.751203e+01	3.371101e+02
5.733161e+01	5.751203e+01	3.370523e+02
5.784974e+01	5.751203e+01	3.369955e+02
5.836788e+01	5.751203e+01	3.369399e+02
5.888601e+01	5.751203e+01	3.368852e+02
5.940415e+01	5.751203e+01	3.368315e+02
5.992228e+01	5.751203e+01	3.367787e+02
6.044041e+01	5.751203e+01	3.367267e+02
6.095855e+01	5.751203e+01	3.366755e+02
6.147668e+01	5.751203e+01	3.366250e+02
6.199482e+01	5.751203e+01	3.365751e+02
6.251295e+01	5.751203e+01	3.365260e+02
6.303109e+01	5.751203e+01	3.364774e+02
6.354922e+01	5.751203e+01	3.364294e+02
6.406736e+01	5.751203e+01	3.363820e+02
6.458549e+01	5.751203e+01	3.363350e+02
6.510363e+01	5.751203e+01	3.362886e+02
6.562176e+01	5.751203e+01	3.362427e+02
6.613990e+01	5.751203e+01	3.361972e+02
6.665803e+01	5.751203e+01	3.361522e+02
6.717617e+01	5.751203e+01	3.361075e+02
6.769430e+01	5.751203e+01	3.360633e+02
6.821244e+01	5.751203e+01	3.360195e+02
6.873057e+01	5.751203e+01	3.359760e+02
6.924870e+01	5.751203e+01	3.359329e+02
6.976684e+01	5.751203e+01	3.358902e+02
7.028497e+01	5.751203e+01	3.358477e+02
7.080311e+01	5.751203e+01	3.358056e+02
7.132124e+01	5.751203e+01	3.357639e+02
7.183938e+01	5.751203e+01	3.357224e+02
7.235751e+01	5.751203e+01	3.356812e+02
7.287565e+01	5.751203e+01	3.356403e+02
7.339378e+01	5.751203e+01	3.355996e+02
7.391192e+01	5.751203e+01	3.355592e+02
7.443005e+01	5.751203e+01	3.355191e+02
7.494819e+01	5.751203e+01	3.354793e+02
7.546632e+01	5.751203e+01	3.354396e+02
7.598446e+01	5.751203e+01	3.354002e+02
7.650259e+01	5.751203e+01	3.353611e+02
7.702073e+01	5.751203e+01	3.353221e+02
7.753886e+01	5.751203e+01	3.352834e+02
7.805699e+01	5.751203e+01	3.352449e+02
7.857513e+01	5.751203e+01	3.352066e+02
7.909326e+01	5.751203e+01	3.351685e+02
7.961140e+01	5.751203e+01	3.351306e+02
8.012953e+01	5.751203e+01	3.350929e+02
8.064767e+01	5.751203e+01	3.350553e+02
8.116580e+01	5.751203e+01	3.350180e+02
8.168394e+01	5.751203e+01	3.349808e+02
8.220207e+01	5.751203e+01	3.349438e+02
8.272021e+01	5.751203e+01	3.349069e+02
8.323834e+01	5.751203e+01	3.348703e+02
8.375648e+01	5.751203e+01	3.348337e+02
8.427461e+01	5.751203e+01	3.347974e+02
8.479275e+01	5.751203e+01	3.347612e+02
