  # Source : patch outlet
# Faces  : 160
# Time	sum(magSf)	weightedAverage(T)
6.353946e-02	8.718506e+00	3.000001e+02
1.723633e-01	8.718506e+00	3.000004e+02
3.209545e-01	8.718506e+00	3.000008e+02
5.043738e-01	8.718506e+00	3.000013e+02
7.186047e-01	8.718506e+00	3.000018e+02
9.602038e-01	8.718506e+00	3.000022e+02
1.220732e+00	8.718506e+00	3.000031e+02
1.492469e+00	8.718506e+00	3.000086e+02
1.773363e+00	8.718506e+00	3.000329e+02
2.061560e+00	8.718506e+00	3.001084e+02
2.355583e+00	8.718506e+00	3.002897e+02
2.654163e+00	8.718506e+00	3.006467e+02
2.956248e+00	8.718506e+00	3.012514e+02
3.260963e+00	8.718506e+00	3.021609e+02
3.567784e+00	8.718506e+00	3.034084e+02
3.876187e+00	8.718506e+00	3.050015e+02
4.185772e+00	8.718506e+00	3.069211e+02
4.496223e+00	8.718506e+00	3.091304e+02
4.807343e+00	8.718506e+00	3.115819e+02
5.118893e+00	8.718506e+00	3.142228e+02
5.430785e+00	8.718506e+00	3.170008e+02
5.742828e+00	8.718506e+00	3.198655e+02
6.055143e+00	8.718506e+00	3.227737e+02
6.367457e+00	8.718506e+00	3.256837e+02
6.679772e+00	8.718506e+00	3.285616e+02
6.992309e+00	8.718506e+00	3.313806e+02
7.304994e+00	8.718506e+00	3.341159e+02
7.617679e+00	8.718506e+00	3.367469e+02
7.930364e+00	8.718506e+00	3.392580e+02
8.243049e+00	8.718506e+00	3.416377e+02
8.555734e+00	8.718506e+00	3.438780e+02
8.868418e+00	8.718506e+00	3.459733e+02
9.181103e+00	8.718506e+00	3.479211e+02
9.493788e+00	8.718506e+00	3.497218e+02
9.806473e+00	8.718506e+00	3.513778e+02
1.011916e+01	8.718506e+00	3.528929e+02
1.043184e+01	8.718506e+00	3.542723e+02
1.074453e+01	8.718506e+00	3.555227e+02
1.105721e+01	8.718506e+00	3.566520e+02
1.136990e+01	8.718506e+00	3.576676e+02
1.168258e+01	8.718506e+00	3.585766e+02
1.199527e+01	8.718506e+00	3.593870e+02
1.230795e+01	8.718506e+00	3.601059e+02
1.262064e+01	8.718506e+00	3.607415e+02
1.293332e+01	8.718506e+00	3.613023e+02
1.324601e+01	8.718506e+00	3.617965e+02
1.355869e+01	8.718506e+00	3.622321e+02
1.387138e+01	8.718506e+00	3.626101e+02
1.418406e+01	8.718506e+00	3.629381e+02
1.449675e+01	8.718506e+00	3.632236e+02
1.480943e+01	8.718506e+00	3.634705e+02
1.512212e+01	8.718506e+00	3.636831e+02
1.543480e+01	8.718506e+00	3.638656e+02
1.574749e+01	8.718506e+00	3.640221e+02
1.606017e+01	8.718506e+00	3.641563e+02
1.637286e+01	8.718506e+00	3.642707e+02
1.668554e+01	8.718506e+00	3.643681e+02
1.699823e+01	8.718506e+00	3.644510e+02
1.731091e+01	8.718506e+00	3.645214e+02
1.762359e+01	8.718506e+00	3.645812e+02
1.793628e+01	8.718506e+00	3.646319e+02
1.824896e+01	8.718506e+00	3.646749e+02
1.856165e+01	8.718506e+00	3.647112e+02
1.887433e+01	8.718506e+00	3.647420e+02
1.918702e+01	8.718506e+00	3.647679e+02
1.949970e+01	8.718506e+00	3.647898e+02
1.981239e+01	8.718506e+00	3.648082e+02
2.012510e+01	8.718506e+00	3.648237e+02
2.043784e+01	8.718506e+00	3.648368e+02
2.075059e+01	8.718506e+00	3.648478e+02
2.106333e+01	8.718506e+00	3.648570e+02
2.137608e+01	8.718506e+00	3.648648e+02
2.168882e+01	8.718506e+00	3.648713e+02
2.200156e+01	8.718506e+00	3.648748e+02
2.231431e+01	8.718506e+00	3.648778e+02
2.262705e+01	8.718506e+00	3.648805e+02
2.293980e+01	8.718506e+00	3.648829e+02
2.325254e+01	8.718506e+00	3.648851e+02
2.356529e+01	8.718506e+00	3.648870e+02
2.387803e+01	8.718506e+00	3.648888e+02
2.419077e+01	8.718506e+00	3.648904e+02
2.450352e+01	8.718506e+00	3.648918e+02
2.481626e+01	8.718506e+00	3.648931e+02
2.512901e+01	8.718506e+00	3.648943e+02
2.544175e+01	8.718506e+00	3.648953e+02
2.575450e+01	8.718506e+00	3.648963e+02
2.606724e+01	8.718506e+00	3.648971e+02
2.637998e+01	8.718506e+00	3.648979e+02
2.669273e+01	8.718506e+00	3.648986e+02
2.700547e+01	8.718506e+00	3.648992e+02
2.731822e+01	8.718506e+00	3.648998e+02
2.763096e+01	8.718506e+00	3.649003e+02
2.794371e+01	8.718506e+00	3.649007e+02
2.825645e+01	8.718506e+00	3.649011e+02
2.856919e+01	8.718506e+00	3.649015e+02
2.888194e+01	8.718506e+00	3.649018e+02
2.919468e+01	8.718506e+00	3.649021e+02
2.950743e+01	8.718506e+00	3.649024e+02
2.982017e+01	8.718506e+00	3.649027e+02
3.013292e+01	8.718506e+00	3.649029e+02
3.044566e+01	8.718506e+00	3.649031e+02
3.075841e+01	8.718506e+00	3.649033e+02
3.107115e+01	8.718506e+00	3.649034e+02
3.138389e+01	8.718506e+00	3.649036e+02
3.169664e+01	8.718506e+00	3.649037e+02
3.200938e+01	8.718506e+00	3.649038e+02
3.232213e+01	8.718506e+00	3.649039e+02
3.263487e+01	8.718506e+00	3.649040e+02
3.294762e+01	8.718506e+00	3.649041e+02
3.326036e+01	8.718506e+00	3.649042e+02
3.357310e+01	8.718506e+00	3.649043e+02
3.388585e+01	8.718506e+00	3.649043e+02
3.419859e+01	8.718506e+00	3.649044e+02
3.451134e+01	8.718506e+00	3.649044e+02
3.482408e+01	8.718506e+00	3.649045e+02
3.513683e+01	8.718506e+00	3.649045e+02
3.544957e+01	8.718506e+00	3.649046e+02
3.576231e+01	8.718506e+00	3.649046e+02
3.607506e+01	8.718506e+00	3.649046e+02
3.638780e+01	8.718506e+00	3.649046e+02
3.670055e+01	8.718506e+00	3.649046e+02
3.701329e+01	8.718506e+00	3.649046e+02
3.732604e+01	8.718506e+00	3.649046e+02
3.763878e+01	8.718506e+00	3.649046e+02
3.795152e+01	8.718506e+00	3.649046e+02
3.826427e+01	8.718506e+00	3.649046e+02
3.857701e+01	8.718506e+00	3.649046e+02
3.888976e+01	8.718506e+00	3.649046e+02
3.920250e+01	8.718506e+00	3.649046e+02
3.951525e+01	8.718506e+00	3.649046e+02
3.982799e+01	8.718506e+00	3.649046e+02
